word,word_len,uni_prob,bi_prob,pos_uni_freq,pos_bi_freq
R EH S,3,-9.20100755686809,-9.405448426045384,1.2134713752098225,1.0150413895714054
G AY DH,3,-15.546313158750843,-16.841184510903407,1.0621754384682518,1.0005449653610639
HH EY N,3,-11.46999497364894,-10.800201051680146,1.1549465464075594,1.004339407885365
T EY S,3,-9.461487174044013,-11.269253528120444,1.1472826336036737,1.0038307752723457
G AW CH,3,-15.24332717012876,-15.18122658642633,1.0447528688897807,1.0003508433748076
S AY K,3,-10.14013296074872,-11.137970145292652,1.192983942607987,1.0063158926463114
F AY K,3,-11.359631972288037,-10.856857555959936,1.1346923293041487,1.005112336331523
SH AE N,3,-10.540784798817775,-11.792964423625309,1.167691661690186,1.0134285365215787
B AY N,3,-10.751454997751104,-10.324688257726402,1.175790139852918,1.0062873907957728
G AY B,3,-12.57181538820177,-15.61740682092282,1.084821679113944,1.0014852936923728
JH AW,2,-10.310017318510347,-13.261892580342968,1.0239880984079182,1.0001164731917538
CH AO D,3,-12.987632223145356,-15.408226502098298,1.0793086053196612,1.0006254617546595
K IH P L,4,-12.091502579206963,-13.48685459187089,1.272743559382496,1.0118588259556938
JH AY M,3,-12.425241804282706,-14.045914012131053,1.0949310221767274,1.0012893919566834
Z UW TH,3,-14.491718867640607,-16.86648417871585,1.0323669355976832,1.000821363490349
CH EY ZH,3,-16.00419372268057,-15.82921236444951,1.0344481239772392,1.0005442534612905
M UW ZH,3,-14.760030037771386,-14.659257619824638,1.076749449639425,1.0009335652834628
V AE S,3,-10.76025965430551,-11.309225297531828,1.162899639288753,1.0078969885774054
Y IY TH,3,-13.746805882117705,-17.632616076898238,1.0582993879057414,1.00042956001897
N ER TH,3,-11.680350259827645,-14.269838824815633,1.0621766293473813,1.0010920664214475
M EY B,3,-11.254932613326165,-14.102155314221868,1.1030978900695634,1.0032320356187916
P N EH K,4,-12.623967536178673,-16.624177171658093,1.2174965078943107,1.0057920218213634
Y AO TH,3,-15.001497491519476,-15.427310389372968,1.0489815325654455,1.0004669606166747
DH IY DH,3,-16.81691881828217,-18.17095181992962,1.0478587886701658,1.0003127308773296
P ER B,3,-10.830822362325396,-12.308000429028558,1.137369812962644,1.0085128655447326
V EH R,3,-10.647806435553782,-11.873463097900455,1.1659981419808392,1.015098697503155
K AE DH,3,-13.561945390394474,-14.186663448953313,1.1590561973140967,1.0091650494004973
SH UW DH,3,-15.552010358021187,-16.984106654457957,1.037023165639866,1.0004281362194234
L AW JH,3,-13.129305405233476,-16.30672829641319,1.0515671336581587,1.000388599922399
R EH P,3,-9.881455850970541,-11.456174900955704,1.1694326650268503,1.011750240411824
Z UW ZH,3,-15.74829426927063,-17.63425707542035,1.0266466049155534,1.0003511993246943
