word,word_len,uni_prob,bi_prob,pos_uni_freq,pos_bi_freq
P AE Z,3,-11.608013043761066,-11.29657227262419,1.1627523259505714,1.006076207447953
P EH L,3,-9.779729616416754,-9.302979281684085,1.2188709775290523,1.0129891134285025
P EH M,3,-10.390633691466663,-10.127080769662358,1.1997062833242726,1.0099349788938763
P EH S,3,-9.770543510814464,-9.177490253824532,1.2331872331601128,1.0112329860710925
P IH M,3,-9.664814103764726,-10.454946699909152,1.2279352811760045,1.0101047574303603
R AE L,3,-9.428630036295193,-9.523242952055572,1.1908064357548978,1.0106343533139905
R EH L,3,-9.202296689612883,-9.549258469776541,1.199738708773403,1.0166072493347325
R EH M,3,-9.813200764662792,-10.373359957754817,1.1805740145686232,1.0135531148001062
R EH P,3,-9.87351873879311,-11.474283204044276,1.1694264235172374,1.0115679273525993
R EH S,3,-9.193110584010594,-9.42376944191699,1.2140549644044636,1.0148511219773224
R IH DH,3,-12.453450979996312,-13.570376491405419,1.1638690580796665,1.012897901187824
R IH N,3,-8.27330135184163,-8.428284515875772,1.2524389595838277,1.0208386509778524
R IH S,3,-8.467290996308655,-8.765465552766607,1.2422839622561954,1.0339332527950624
R IH SH,3,-9.894768779749677,-10.748872339179787,1.1696337370137735,1.0132414913229697
R IH TH,3,-11.235365038193912,-11.858571206856995,1.167992139701412,1.013165137959604
R IH V,3,-9.916616719275547,-9.621181786914722,1.1844462895067107,1.0159902124041331
R IH Z,3,-10.078427182572948,-9.151670100223686,1.1807813280651591,1.0164483325843272
R IH ZH,3,-12.473964519829416,-13.428757431759875,1.1623419908123533,1.012477957689313
S AE N,3,-9.122479058247233,-9.635993206694767,1.261978502211632,1.016476848909442
S EH B,3,-10.126527277864156,-14.005694864705214,1.2046360558287479,1.009317941963277
S EH CH,3,-11.485300573004299,-12.256002862392466,1.187723785843255,1.00908888187318
S EH DH,3,-13.076295339719604,-13.172541825619515,1.1823408737259762,1.0092415885999113
S EH G,3,-10.720819244581481,-12.258771982262374,1.1968861894471337,1.010196005641982
S EH M,3,-9.710225536684147,-10.121586565183426,1.227274828066665,1.0133646702216568
S EH NG,3,-11.031718530035961,-11.607555312003552,1.1910069804679781,1.0090125285098144
S EH P,3,-9.770543510814464,-11.222509811472886,1.2161272370152791,1.0113794827741498
S EH R,3,-9.193110584010594,-10.173060345635317,1.257014463097588,1.0218017168735618
S EH S,3,-9.090135356031949,-9.171996049345601,1.2607557779025051,1.014662677398873
S EH SH,3,-10.51761313947297,-11.679539935775058,1.1881055526600832,1.0088216451014003
S EH V,3,-10.53946107899884,-10.67497520456221,1.2029181051530204,1.0114558361375154
S EH ZH,3,-13.096808879552707,-13.44042828361914,1.180813806458663,1.008897998464766
S IH JH,3,-10.263448838948575,-10.23273602891079,1.218128854550908,1.0110628507028496
S IH M,3,-8.98440594898221,-9.882956270150009,1.2555038259183966,1.0157204058681546
S IH Z,3,-9.975451954594305,-8.978464644174728,1.227482141563201,1.0136970417389648
SH AE N,3,-10.549956841688253,-11.797523665493177,1.167710650449053,1.0134240467385605
SH EH N,3,-10.323623495005943,-11.758309875956279,1.1766429234675584,1.013464174484215
SH IH S,3,-9.791793551771033,-11.076359886968278,1.194716923991658,1.0230788450763726
T AE L,3,-9.192983985725391,-10.871882550893503,1.1734066165322403,1.0098805750001927
T EH M,3,-9.57755471409299,-11.34954532613007,1.1631741953459658,1.010010356725256
T EH T,3,-8.824793710849633,-10.559837770090546,1.1792465783344366,1.009819473316842
T IH S,3,-8.231644945738854,-9.058122598150554,1.224884143033538,1.0242848903784492
TH AE N,3,-11.890553100132486,-12.22104635381487,1.1630029071528796,1.0126325795090727
TH IH S,3,-11.132389810215267,-11.460460161124141,1.1900091806954842,1.0225512002567139
V AE S,3,-10.76579442568115,-11.344639981310413,1.1627530017203964,1.0077641425296433
V EH L,3,-10.54864718460113,-10.903414789932315,1.1573690191078412,1.0104639560772795
V EH R,3,-10.642436306977483,-11.77899005836248,1.1679439599339845,1.0158468681945583
V EH S,3,-10.53946107899884,-10.777925762072764,1.1716852747389017,1.0087078287198694
V IH L,3,-9.822827596899192,-10.814670425374825,1.185598016959573,1.0132073117325209
V IH N,3,-9.619651846829877,-9.840952112486203,1.2100692699182658,1.0116802444652078
V IH S,3,-9.813641491296902,-10.178133149377038,1.1999142725906333,1.0247748462824178
W AE N,3,-10.99734966345384,-10.819827260568754,1.1793858538235635,1.012858713003212
W IH S,3,-10.239186373536619,-9.236882155838073,1.2063921273661682,1.026546225319843
Y AE N,3,-11.3101341845673,-12.611480203371148,1.1648483425249796,1.0125948905933828
Y IH S,3,-10.551970894650081,-13.490184886264197,1.1918546160675842,1.0219858665213655
Z AE N,3,-10.733615244511526,-13.347778793807095,1.158973078891355,1.0124441349306232
Z IH S,3,-9.975451954594305,-12.524672244135031,1.1859793524339597,1.022136622184125
B AO CH,3,-13.47081854647399,-14.742649177853203,1.095235281842592,1.0017718668034181
B AO TH,3,-13.843727371386896,-12.436594025167567,1.0939754513470585,1.0018482201667838
B AW JH,3,-14.15567708604401,-14.797859762827676,1.0732150688256001,1.0008296439111706
CH AO B,3,-13.47081854647399,-18.79990899296943,1.067367497594882,1.0004179924345393
CH AO CH,3,-14.829591841614132,-18.5418718674344,1.050455227609389,1.0001889323444424
CH AO D,3,-12.986763163772602,-15.464825646242689,1.079584035733387,1.0006088758429534
CH AO G,3,-14.065110513191314,-16.685261330401275,1.059617631213268,1.000952465978099
CH AO NG,3,-14.376009798645795,-14.416719382875183,1.0537384222341124,1.0012578794315616
CH AO SH,3,-13.861904408082804,-17.870098761012667,1.0508369944262173,1.0004179924345393
CH AO TH,3,-15.202500666527037,-16.235816714748765,1.0491953971138557,1.000265285707808
CH AO Z,3,-14.045562810906073,-15.661858747886043,1.061984585477603,1.000685229206319
CH UW DH,3,-16.48666211946548,-15.28820099229679,1.0342555966891103,1.0002275967921181
CH UW SH,3,-13.927979919218846,-13.125174339313242,1.0400202756232173,1.000265773473801
CH UW TH,3,-15.268576177663078,-12.97570563801034,1.0383786783108557,1.0007620703356777
CH UW V,3,-13.949827858744715,-12.731764507383982,1.0548328281161545,1.000685716972312
CH UW ZH,3,-16.507175659298582,-13.713034686680809,1.0327285294217972,1.0003421268371666
D AO TH,3,-13.359671988685509,-13.253479408911428,1.1037675574030994,1.0016597755883343
F AW JH,3,-14.334761793019224,-15.43054544235464,1.0685073255294266,1.0004527547542716
F UW DH,3,-15.30697353130055,-16.614123958294982,1.0743279076261396,1.0004914192019474
F UW SH,3,-12.748291331053917,-14.451097305311434,1.0800925865602466,1.0005295958836302
F UW TH,3,-14.08888758949815,-14.301628604008533,1.0784509892478849,1.0010258927455071
F UW V,3,-12.770139270579786,-14.057687473382174,1.0949051390531839,1.0009495393821415
F UW ZH,3,-15.327487071133653,-15.038957652679004,1.0728008403588265,1.0006059492469959
G AO B,3,-12.706337218051171,-16.307873939456872,1.0859724991013597,1.0010210150855776
G AO CH,3,-14.065110513191314,-16.04983681392184,1.0690602291158668,1.0007919549954807
G AO TH,3,-14.438019338104219,-13.743781661236206,1.0678003986203337,1.0008683083588463
G AW CH,3,-15.24600119911512,-15.188481214044408,1.044863945242954,1.0003411513051808
G AW D,3,-13.403172521273591,-13.77731421619175,1.0739927533669518,1.0006847414403262
G AW R,3,-12.953811210121415,-16.201116305810967,1.114154622497287,1.0004556813502292
G AW TH,3,-15.618910024028025,-14.839265280946275,1.0436041147474207,1.0006465647586433
G AW Z,3,-14.461972168407062,-13.841365929807818,1.056393303111168,1.0005702113952777
G UW DH,3,-15.72218079104266,-16.733986637033517,1.052860598195588,1.0005667970333272
G UW SH,3,-13.163498590796028,-14.570959984049969,1.0586252771296951,1.00060497371501
G UW TH,3,-14.50409484924026,-14.421491282747068,1.0569836798173335,1.001101270576887
