word,word_len,uni_prob,uni_prob_freq_weighted,uni_prob_smoothed,uni_prob_freq_weighted_smoothed,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
K AE ZH,3,-13.559022084047374,nan,-13.554170023672185,nan,-13.888804927496288,nan,-13.955033746411937,nan,1.1566661071069246,nan,1.1565495915010655,nan,1.009465283264086,nan,1.0090235538505088,nan
K EH K,3,-9.561895071656664,nan,-9.562137855776008,nan,-11.016762308629353,nan,-11.02067247365202,nan,1.2186257909828782,nan,1.218417330750608,nan,1.0087151452097636,nan,1.0083099845288193,nan
K EH L,3,-9.335201319446597,nan,-9.335468308527744,nan,-11.029276718773062,nan,-11.031698723375092,nan,1.2312240959382115,nan,1.2309969060946404,nan,1.009898622341931,nan,1.009428512401812,nan
K EH S,3,-9.326015213844308,nan,-9.326283072792865,nan,-10.903381240731902,nan,-10.906209695515539,nan,1.245540351569272,nan,1.2452918780764954,nan,1.008142494984521,nan,1.0077687613644677,nan
L AE L,3,-9.334840913918837,nan,-9.335085894762859,nan,-10.656549297906261,nan,-10.667966874525936,nan,1.1632002290661358,nan,1.1630728165870046,nan,1.0103328419884712,nan,1.0098401267594785,nan
L AE N,3,-9.131665163849522,nan,-9.131927635828905,nan,-9.679160419449286,nan,-9.691664923673674,nan,1.1876714820248286,nan,1.1875076886946554,nan,1.0162884043309925,nan,1.0154688476687335,nan
L AE T,3,-9.19298398572539,nan,-9.193241547946357,nan,-10.501745334134792,nan,-10.512633236085833,nan,1.1601079178498268,nan,1.159985102638924,nan,1.0090348348112552,nan,1.0086133542536153,nan
L EH L,3,-9.108507567236527,nan,-9.108798761279482,nan,-10.849855263859723,nan,-10.859522992856723,nan,1.1721325020846411,nan,1.1719919796157565,nan,1.011670001379356,nan,1.0111038528167262,nan
L IH S,3,-8.373501873932302,nan,-8.373887841853925,nan,-9.553637383822595,nan,-9.562792845187973,nan,1.2146777555674335,nan,1.2144745174564104,nan,1.026847736645362,nan,1.025449483323578,nan
M AE B,3,-10.972950805198664,nan,-10.972945104969662,nan,-12.375520158419942,nan,-12.385828893179088,nan,1.1431277056785765,nan,1.143030569514275,nan,1.0104284800940295,nan,1.0099334405216114,nan
M AE L,3,-9.945744988968746,nan,-9.945909864950542,nan,-9.536814119251268,nan,-9.551863627048576,nan,1.1849311721212732,nan,1.1847718877012914,nan,1.014742445124189,nan,1.0140106550263923,nan
M AE V,3,-11.385884606333349,nan,-11.385743090412753,nan,-11.230184520235802,nan,-11.246847407076675,nan,1.1414097550028492,nan,1.1413151728764526,nan,1.0100467132772013,nan,1.0095726250787105,nan
M AE Z,3,-11.547695069630748,nan,-11.547483047406633,nan,-11.163504253454972,nan,-11.170780306354143,nan,1.1377447935612977,nan,1.1376556600490977,nan,1.0090159428717649,nan,1.008598423382878,nan
M EH K,3,-9.946105394496504,nan,-9.946292278715429,nan,-9.690470013826188,nan,-9.705324664761417,nan,1.181265140184445,nan,1.181111475386011,nan,1.0122202143689238,nan,1.0116250198179046,nan
M EH M,3,-10.330315717336346,nan,-10.330446701654848,nan,-10.525614683190383,nan,-10.54045240246276,nan,1.1746987509349986,nan,1.1745548482370003,nan,1.0103495569664651,nan,1.0098570241476899,nan
M IH M,3,-9.60449612963441,nan,-9.604721017964172,nan,-10.298629546745074,nan,-10.311987234076748,nan,1.2029277487867305,nan,1.2027424140957992,nan,1.014853560807287,nan,1.014115847634432,nan
M IH P,3,-9.664814103764726,nan,-9.665028097772058,nan,-11.314889339531334,nan,-11.326535086198827,nan,1.1917801577353446,nan,1.191611395912595,nan,1.014242733900362,nan,1.0135385429257904,nan
N AE L,3,-9.131665163849522,nan,-9.131927635828905,nan,-12.004538880938307,nan,-12.011865125292859,nan,1.153860066366528,nan,1.1537463527458554,nan,1.008599151866736,nan,1.0082004318853073,nan
N EH N,3,-8.702156067097896,nan,-8.702482243411575,nan,-10.947610528793975,nan,-10.954973527173493,nan,1.1872635923437258,nan,1.1871003878822581,nan,1.0146702197862918,nan,1.013938269434527,nan
N IH N,3,-7.976336479395959,nan,-7.976756559720899,nan,-10.23479161145514,nan,-10.241778014055793,nan,1.2154925901954576,nan,1.215287953741057,nan,1.010549576994511,nan,1.0100436426689328,nan
N IH S,3,-8.170326123862985,nan,-8.170729582919972,nan,-10.57159206214853,nan,-10.578959050946626,nan,1.2053375928678254,nan,1.2051480536152612,nan,1.023644178811721,nan,1.0224196123604354,nan
P AE B,3,-11.033268779328981,nan,-11.033252184777549,nan,-12.502572066308066,nan,-12.511620859449133,nan,1.1681352380678505,nan,1.1680014243147714,nan,1.0074887446702177,nan,1.0071530883436688,nan
P AE G,3,-11.627560746046306,nan,-11.627328513823647,nan,-11.93467371947759,nan,-11.952105764457535,nan,1.1603853716862362,nan,1.1602630794819273,nan,1.0077178047603148,nan,1.0073695776094094,nan
P AE JH,3,-11.896009928115337,nan,-11.895629518946103,nan,-11.695706457548768,nan,-11.711727994245193,nan,1.1533990389382787,nan,1.153287133154782,nan,1.0059998540845874,nan,1.0057459081163551,nan
P AE V,3,-11.446202580463666,nan,-11.446050170220639,nan,-11.357236428123922,nan,-11.37263937334672,nan,1.1664172873921232,nan,1.1662860276769489,nan,1.0071069778533894,nan,1.006792272900768,nan
P AE Z,3,-11.608013043761066,nan,-11.607790127214521,nan,-11.290556161343094,nan,-11.29657227262419,nan,1.1627523259505717,nan,1.162626514849594,nan,1.006076207447953,nan,1.0058180712049354,nan
P EH L,3,-9.779729616416754,nan,-9.779929811275052,nan,-9.28904585957193,nan,-9.302979281684085,nan,1.2188709775290523,nan,1.2186619055305397,nan,1.0129891134285025,nan,1.0123514467427261,nan
P EH M,3,-10.390633691466663,nan,-10.390753781462735,nan,-10.111676118792417,nan,-10.127080769662358,nan,1.1997062833242726,nan,1.1995257030374966,nan,1.0099349788938763,nan,1.0094649231995185,nan
